2013-05-24 01:11:48 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 11
2013-05-24 01:11:48 DB tDatabaseOp 	 RefreshModelsFiles 	 Формирование списка моделей 
2013-05-24 01:11:48 (Login: a) tGetListModels 	 ExeCommand 	 Передача списка моделей 
2013-05-24 01:12:19 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 11
2013-05-24 01:12:19 DB tDatabaseOp 	 RefreshModelsFiles 	 Формирование списка моделей 
2013-05-24 01:12:19 (Login: a) tGetListModels 	 ExeCommand 	 Передача списка моделей 
2013-05-24 01:12:45 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 6
2013-05-24 01:12:45 Blocker  tReadWriteMutex 	 lockRead 	 --- Блокировка на чтение. --- Логин: a
2013-05-24 01:12:45 Blocker  tReadWriteMutex 	 unlockRead 	 --- Снятие блокировки на чтение. --- Логин: a
2013-05-24 01:12:45 Client 1132 (a) tClient 	 OnReadyRead 	 Ошибка при выполнении команды номер 6
2013-05-24 01:12:45 (Login: a) tStartTransaction 	 SendErrorReport 	 Ошибка при старте коммита КОЛЛИЗИЯ 
2013-05-24 01:12:45 Client 1132 (a) tClient 	 OnReadyRead 	 Получена команда номер 8
2013-05-24 01:12:45 (Login: a) tCancelTransaction 	 ExeCommand 	 ОТМЕНА ТРАНЗАКЦИИ 
2013-05-24 01:12:45 FileBlocker  tFileBlocker 	 UnlockReadWrite 	 === Снятие блокировок со всех файлов на чтение и запись логина === a
2013-05-24 01:12:45 Blocker  tReadWriteMutex 	 lockWrite 	 --- Блокировка на запись. --- Логин: a
2013-05-24 01:12:45 FileBlocker  tFileBlocker 	 UnlockReadWrite 	 Блокировка таблицы файлов на запись установлена. Логин: a
2013-05-24 01:12:45 Blocker  tReadWriteMutex 	 unlockReadWrite 	 --- Снятие всех блокировок на чтение и запись ---. Логин: a
